codigo sap,nombre del equipo,numero de rodamiento lado acople,numero de acople aldo ventilador,diametro ventilador,equipo,potencia,rpm,area
136739,Bba meladura Sulfitada #2,6313,6313,25,MOTOR ELECTRICO,75,1785,TRATAMIENTO
136738,Bba meladura Sulfitada #1,6313,6213,25,MOTOR ELECTRICO,75 hp,1785,TRATAMIENTO
136724,Transferencia E2,6313,6312,31.5 cm ,MOTOR ELECTRICO,40,880,TRATAMIENTO
136724,TRANFERENCIA E2,6313,6312,31.5 CM,MOTOR ELECTRICO,40,880,TRATAMIENTO
136724,Transferencia E2,6313,6312,31.5 CM,MOTOR ELECTRICO,40HP,880,TRATAMIENTO
136723,Bba de transferencia D5 ,6313,6311,36,MOTOR ELECTRICO,40,880,TRATAMIENTO
136721,Bba floculante filtro Prensa Auxiliar ,6306,6205,10,MOTOR ELECTRICO,2,1710,TRATAMIENTO
136716,Bba de liquidación #2 evaporada ,6212,6209,27.5,MOTOR ELECTRICO,30,1179,TRATAMIENTO
136693,Motor ventilador del filtro banda ,6308,6207,5 pulgadas ,MOTOR ELECTRICO,15 hp,1760,RA
136692,M. Licor a filtro banda #2,6311,6211,9 pulgadas ,MOTOR ELECTRICO,40HP,1780,RA
136691,Licor. A Filtro banda #1# ,6312,6210,7 pulgadas ,MOTOR ELECTRICO,40 hp ,1780,RA
136690,Agitador licor filtrado a tratamiento ,6306,6306,5 pulgadas ,MOTOR ELECTRICO,3 hp ,1775,RA
136689,Aereador #2 clarificador de licor ,6206,6205,6 pulgadas ,MOTOR ELECTRICO,3 hp,1720,RA
136684,Dosificador de carbon ,6204,6204,4 pulgadas ,MOTOR ELECTRICO,1 hp,1745,RA
136683,Motor bomba de agua  dulce #2,6309 zz,6309zz ,0.5,MOTOR ELECTRICO,20Hp,3540,RA
136683,Motor bomba de agua  dulce #2 refinería ,6309zz ,6309zz ," 6""   de plastico",MOTOR ELECTRICO,20 Hp,3540,RA
136682,Motor bomba # 2 ,6311zz, 6310 zz," 9"" 1/4   de plastico",MOTOR ELECTRICO,30 Hp,1770,RA
136681,Motor bomba  #1 prepara ,6310zz,6210zz,"6"" 1/2  de plastico",MOTOR ELECTRICO,30 Hp,1775,RA
136680,Motor bomba # 2 de  segunda filtracion,6312zz,6212zz,"6"" 3/4  de plástico ",MOTOR ELECTRICO,40 Hp,1770,RA
136679,Motor bomba  #1 de  segunda filtración  ref.,6312zz,6210zz,"  7 "" plastico",MOTOR ELECTRICO,40 Hp,1780,RA
136678,Motor bomba  # 2 de la primera filtración ,6314zz,6314zz," 7"" 1/2  de  plastico",MOTOR ELECTRICO,60 Hp ,1780,RA
136677,Motor bomba  # 1 de la primera   filtración ,6314 zz,6414 zz,"11"" 3/4   de plastico",MOTOR ELECTRICO,60 Hp,1780,RA
136675,Motor Movimiento  Secadora.  Refinería ,6314zz,6314zz,"15.""  De aluminio ",MOTOR ELECTRICO,60 Hp,1775,RA
136411,Motor 2 de inyección de agua tacho continuo 2A,6317-C3,6313-C3,11 pulgadas,MOTOR ELECTRICO,60HP,1180,RA
136410,Motor 1 de inyección de agua tacho continuo 2A,6317-C3,6313-C3,11 pulgadas,MOTOR ELECTRICO,60 HP,1180,RA
136408,Motor 2 de semilla tacho continuo 2B,6213-zc3,6213-zc3,7 pulgadas,MOTOR ELECTRICO,50 HP,1780,RA
136407,Motor 1 de semilla tacho continuo 1B,6311-2z,6207-2z,7 pulgadas,MOTOR ELECTRICO,40HP,1770,RA
136406,Recibidor 2 semilla 3ra TC 1C,6206,6505,6”,MOTOR ELECTRICO,5,1765,RA
136405,Recibidor 1 semilla 3ra TC 1C ,6206,6205,6”,MOTOR ELECTRICO,5 hp ,1765,RA
136320,Bba agua fría bioetanol ,6311,6211,"8""",MOTOR ELECTRICO,30,0,EXTRACCION
136111,Motor bomba  #2 licor tratado  refinería ,6314 C3,6314 C3,"11"" 1/2",MOTOR ELECTRICO,60 Hp,1775,RA
136110,Motor bomba # 1  licor tratado  refinería ,6313 C3,6313 C3,"10"" 1/2",MOTOR ELECTRICO,60 Hp,1775,RA
135821,Ventilador Scrubber Fabrica,6313,6212,"11""",MOTOR ELECTRICO,75HP,1781,RA
135821,Ventilador Scrubber Fabrica ,6313,6212,"11""",MOTOR ELECTRICO,75HP,1781,RA
135583,Motor 2 de condensado C1/C2 de tacho continuo 1A,6206-2Z,6205-2Z,7 pulgadas,MOTOR ELECTRICO,5 HP,1765,RA
135573,Elevador #1 refineria   azúcar humeda,6311zz,6211zz,"8"" ",MOTOR ELECTRICO,25 hp 18.1 kws,1775,RA
135573,Motor movimiento elevador #1 azúcar   seca,6311zz,6211zz,"8"" de plastico",MOTOR ELECTRICO,25 Hp  (18.1 kws ),1775,RA
135541,Extractor de vapor,6206,6205,"7""",MOTOR ELECTRICO,5HP,1750,RA
135161,Conductor  faja # 2 de  azúcar ref,6310 zz,6309 zz,"9"" plastico",MOTOR ELECTRICO,7. 5 Hp,1170,RA
135140,Bba 2 Alimentación de miel B TC 1C,6312 2Z C3,6212 2Z C3 ,"10""",MOTOR ELECTRICO,40 HP,1770,RA
135139,bomba #1 miel B tc,6312,6212,"""9""",MOTOR ELECTRICO,40,1770,RA
135121,Intermedio 3 TA,6316,6314,8.5,MOTOR ELECTRICO,75,1780,EXTRACCION
135091,bba #3 jugo claro scruber secadora fabrica ,6309,6209,"""7""",MOTOR ELECTRICO,15,1780,RA
135091,bomba #3 jugo claro scruber polvillo fabrica,6309,6209,"""7""",MOTOR ELECTRICO,15,1780,RA
135089,jugo claro scruber 2A,6309,6209,"""7""",MOTOR ELECTRICO,15,1780,RA
135088,Bomba de agua colonia ,6211,6206,"7""",MOTOR ELECTRICO,7.5HP,1750,RA
135011,Centrifuga 2 BMA tacho continuo 1A,6322/C3,6316/C3VLO241,15 pulgadas,MOTOR ELECTRICO,200 KW,893,RA
135011,Centrifuga 2 BMA tacho continuo 1A,6322/C2,6316/C3VLO241,15 pulgadas,MOTOR ELECTRICO,200 KW,893,RA
135004,Bba 3 cabezotes TB ,6307,6309,9,MOTOR ELECTRICO,7.5,1740,EXTRACCION
135000,Falval 3,6205,6203,4,MOTOR ELECTRICO,1,1770,EXTRACCION
134997,Bba 2 cabezotes TA ,6310,6310,abierto ,MOTOR ELECTRICO,7.5,1135,EXTRACCION
134974,jugo claro scruber 1A,6309,6209,"""7""",MOTOR ELECTRICO,15,1780,RA
134760,Bba jugo filtrado 2 TB,6319,6314,"12""",MOTOR ELECTRICO,150,1780,EXTRACCION
134758,BBA 2 lubricacion rotor desfibradora,6204,6204,4,MOTOR ELECTRICO,0.86KW,1750,EXTRACCION
134756,BBA 1 lubricación red desfibradora TA,6204,6204,4,MOTOR ELECTRICO,0.86 KW,1750,EXTRACCION
134746,Tambor Desfibradora TA,6316,6316,11,MOTOR ELECTRICO,148 HP,1790,EXTRACCION
134724,BBA enfriamiento chumaceras molinos,6308,6209,9,MOTOR ELECTRICO,20,1760,EXTRACCION
132378,Intermedio 6TB ,6314,6314,8 1/2,MOTOR ELECTRICO,60,1775,EXTRACCION
132376,Intermedio 4,6314,6314,8 1/2,MOTOR ELECTRICO,60,1775,EXTRACCION
132374,Intermedio 3 TB,6316,6314,8.5,MOTOR ELECTRICO,75,1780,EXTRACCION
132373,Bomba 3 limpieza de telas filt cachaza ,6314,6314,19cm,MOTOR ELECTRICO,60hp,3565,TRATAMIENTO
132372,Intermedio 6 TA,6314,6314,"9""",MOTOR ELECTRICO,60,1780,EXTRACCION
132371,Intermedio 5 TA,6314,6314,8.5 pulgadas ,MOTOR ELECTRICO,60,1780,EXTRACCION
132370,Intermedio 4 TA,6314,6314,"9""",MOTOR ELECTRICO,60,17780,EXTRACCION
132368,Bomba 1 limpieza de telas filt cachaza ,6313,6313,14cm,MOTOR ELECTRICO,60hp,3560,TRATAMIENTO
132366,Bomba 2 limpieza de telas filt cachaza ,6314,6314,19cm,MOTOR ELECTRICO,60hp,3565,TRATAMIENTO
132361,Bomba 5 limpieza de telas ,6314,6314,19cm,MOTOR ELECTRICO,60,3560,TRATAMIENTO
132359,Bomba 4 limpieza de telas filt cachaza,6314,6314,19cm,MOTOR ELECTRICO,60hp,3565,TRATAMIENTO
132357,Bomba 2 limpieza de telas jugo claro,6313,6313,14cm,MOTOR ELECTRICO,60,3560,TRATAMIENTO
132019,Bomba de agua #3 caldera 7A ,6218 aislado ,6218 aislado ,"14""",MOTOR ELECTRICO,800 ,3586,CALDERAS
132018,Bomba de agua #2 Caldera 7,6218 aislado,6218 aislado,"14""",MOTOR ELECTRICO,800,3586,CALDERAS
132017,Bomba de agua #1 Caldera 7,6315-2z,6315-2z,"16"" ¾",MOTOR ELECTRICO,800,3570,CALDERAS
132016,Bba 1 cabezotes TB ,6208,6208,9,MOTOR ELECTRICO,7.5,1770,EXTRACCION
132015,Bba 1 cabezotes TA,6208,6208,9,MOTOR ELECTRICO,7.5,1770,EXTRACCION
132014,Bba maceración 3 TA ,6311,6211,9,MOTOR ELECTRICO,50,1765,EXTRACCION
132013,Lubricación de planetario Molino 6 TA,6308,6207,8,MOTOR ELECTRICO,12.5,1765,EXTRACCION
132010,Bba 2 filtrado TA,6320,6316,"14""",MOTOR ELECTRICO,750,1190,EXTRACCION
132009,Bba 1 filtrado TA,6320,6316,"14""",MOTOR ELECTRICO,150,1190,EXTRACCION
132005,Conductor Auxiliar TB,6319,6316,"16""",MOTOR ELECTRICO,200,1788,EXTRACCION
132004,Conductor 2 TB ,6316,6314,10,MOTOR ELECTRICO,100,1765,EXTRACCION
132002,BBA lubricación pre-picadora,6206,6205,6,MOTOR ELECTRICO,3,1760,EXTRACCION
132001,Prepicadora TA,6330 C3,6328,26' pulgadas ,MOTOR ELECTRICO,2250,1783,EXTRACCION
131999,Banda trash 3 TB,6308,6308,"5""",MOTOR ELECTRICO,10,1750,EXTRACCION
131999,conductor 3 trash TB,6308,6308,"5""",MOTOR ELECTRICO,10,1750,EXTRACCION
131998,Banda trash 2 TB,6308,6207,"5""",MOTOR ELECTRICO,10,1765,EXTRACCION
131998,Conductor 2 trash TB ,6308,6207,"5""",MOTOR ELECTRICO,10,1765,EXTRACCION
131997,Bba lubricación planetario conductor 1 TB,6205,6203,"5""",MOTOR ELECTRICO,1.5,1700,EXTRACCION
131996,Conductor de caña 2,6316,6314,9,MOTOR ELECTRICO,100,1780,EXTRACCION
131958,Bba de caramelo diluido #2 ,6309,6208,256T,MOTOR ELECTRICO,20,3520,RA
131958,Bba. #2 Caramelo Diluido ,6309,6208,"7""",MOTOR ELECTRICO,20,3520,RA
131956,Bba caramelo diluido #1,6309,6208,15 cm,MOTOR ELECTRICO,20,3520,RA
131956,Bba. 1 Caramelo Diluido ,6309,6208,"7""",MOTOR ELECTRICO,20,3520,RA
131898,Conductor arrastra de ceniza # 3,6207,6206,8,MOTOR ELECTRICO,2,1165,CALDERAS
131897,Válvula rotativa conductor # 2,6203,6203,No tiene,MOTOR ELECTRICO,0.5,1725,CALDERAS
131896,Conductor arrastra de ceniza # 3,6308,6207,8,MOTOR ELECTRICO,5,1160,CALDERAS
131894,Válvula rotativa del conductor # 3,6203,6203,No tiene,MOTOR ELECTRICO,0.5,1725,CALDERAS
131888,Hidráulico de arado de carbon,6207,6206,8,MOTOR ELECTRICO,7.5,1765,CALDERAS
131879,Alimentador de bagazo 3 caldera 5,6308,6206,"8""3/4",MOTOR ELECTRICO,10,1800,CALDERAS
131877,Pateador # 4,6205,6203,No tiene,MOTOR ELECTRICO,1,1140,CALDERAS
131876,Conductor salida # 2,6312,6312,8,MOTOR ELECTRICO,40,1780,CALDERAS
131876,Conductor salida # 2,6312,6312,8,MOTOR ELECTRICO,40,1780,CALDERAS
131875,Movimiento de tolvas de ceniza # 1,6204,6203,4,MOTOR ELECTRICO,1,1000,CALDERAS
131874,Movimiento de tolva1 de seniza seca ,603,6203,3,MOTOR ELECTRICO,1,1600,CALDERAS
131873,Conductor salida # 1,6312,6312,10,MOTOR ELECTRICO,50,1780,CALDERAS
131872,Forzado secundario 2 caldera 7A ,6319zz ,6316zz ,"14""",MOTOR ELECTRICO,250,1780,CALDERAS
131871,Ventilador torre enfriamiento ,6309,6309,"8""",MOTOR ELECTRICO,15,1465,CALDERAS
131871,Ventilador de torre enfriamiento de caldera 7,6309,6309,"8""",MOTOR ELECTRICO,15 hp,1465,CALDERAS
131869,Ventilador #2 espi caldera 7,6205,6204,"6""",MOTOR ELECTRICO,2 HP,3475,CALDERAS
131533,Bomba 2 disuelto de tercera ,6314,6314,"12""",MOTOR ELECTRICO,"44,76(60) kw",1775,RA
130945,Recibidor 2 masa 3ra ,6206,6205,6”,MOTOR ELECTRICO,5,1765,RA
130922,Banda 2 linea 5 caída L2 y L12,6206,6205,"6""",MOTOR ELECTRICO,5HP,1758,RA
130921,Banda transversal L5 hacia L2 y L12,6206,6205,"6""",MOTOR ELECTRICO,5HP,1750,RA
130921,Banda transversal L5 hacia L2 y L12,6206,6205,"6""",MOTOR ELECTRICO,5HP,1750,RA
130919,Motor 1 de semilla Tacho continuo 1A,6312-2z-c3,6312-2z-c3,7 pulgadas,MOTOR ELECTRICO,50HP,1780,RA
130895,Verificador de peso línea 12,6205,6203,X,MOTOR ELECTRICO,0.50 hp,1725,RA
130892,Detector de metales línea 12 ,6205,6205,6 pulgadas ,MOTOR ELECTRICO,1.5 hp,1740,RA
130877,Conductor Jumbo #3 linea 5,6205,6205,"5""",MOTOR ELECTRICO,1.10kw,1745,RA
130874,conductor jumo #2 línea 5 ,6205,6205,"""5""",MOTOR ELECTRICO,1.10kw,1745,RA
130874,conductor de ju,6206,6205,"""*5:",MOTOR ELECTRICO,1.10kw,1745,RA
130871,Conductor Jumbo #1 linea 5,6205,6205,"5""",MOTOR ELECTRICO,1.10kw,1745,RA
130868,Conductor jumbos 4 L4,6205,6205,"5""",MOTOR ELECTRICO,1.10kw,1745,RA
130865,conductor #3 línea 4,6205,6205,"""5""",MOTOR ELECTRICO,1.10kw,1745,RA
130862,Conductor Jumbo #2 linea 4,6205,6205,"5""",MOTOR ELECTRICO,1.10kw,1745,RA
130859,conductor #1 línea 4,6205 ,6205,"""5""",MOTOR ELECTRICO,1.10kw,1745,RA
130854,Conductor Jumbo #2 linea 3,6205,6205,"5""",MOTOR ELECTRICO,1.10kw,1745,RA
130850,Conductor Jumbo #1 linea 3,6205,6205,"5""",MOTOR ELECTRICO,1.10kw,1745,RA
130850,conductor de jumbo #1 línea 3,6205,6205,"""5""",MOTOR ELECTRICO,1.10kw ,1745,RA
130844,Verificador de peso línea 2 ,6205,6203,X,MOTOR ELECTRICO,1/2 hp,1725,RA
130841,Detector de metales línea 2,6205,6205,5 pulgadas ,MOTOR ELECTRICO,1.5 hp,1750,RA
130723,Motor 1 de condensado Tacho continuo 1C,6207-2z,6206-2z,6 pulgadas,MOTOR ELECTRICO,5 HP,3485,RA
130716,Motor 2 hervida tacho continuo 1C,6312-2z,6312-2z,7 pulgadas,MOTOR ELECTRICO,50 HP,1780,RA
130715,Motor 1 de hervida tacho continuo 1C,6319-2z,6314-2z,15 pulgadas,MOTOR ELECTRICO,200,1780,RA
130714,Motor 2 de meladura de miel hacia tanque elevado 1A,6309-2Z-C3,6309-2Z-C3,8 pulgadas,MOTOR ELECTRICO,20HP,1770,RA
130713,Motor 1 de meladura miel hacia tanque elevado 1A,6309-2Z-C3,6309-2Z-C3,8 pulgadas,MOTOR ELECTRICO,20HP,1770,RA
